source_framework,source_provision,target_framework,target_provision,relation,rationale,source
nist_ai_600_1,MS-1.3,nist_ai_rmf,MEASURE 1.3,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 1.3.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.2,nist_ai_rmf,MEASURE 2.2,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.3,nist_ai_rmf,MEASURE 2.3,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.3.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.5,nist_ai_rmf,MEASURE 2.5,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.5.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.6,nist_ai_rmf,MEASURE 2.6,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.6.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.7,nist_ai_rmf,MEASURE 2.7,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.7.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.8,nist_ai_rmf,MEASURE 2.8,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.8.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.9,nist_ai_rmf,MEASURE 2.9,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.9.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.10,nist_ai_rmf,MEASURE 2.10,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.10.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.11,nist_ai_rmf,MEASURE 2.11,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.11.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.12,nist_ai_rmf,MEASURE 2.12,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.12.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-2.13,nist_ai_rmf,MEASURE 2.13,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 2.13.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-3.2,nist_ai_rmf,MEASURE 3.2,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 3.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-3.3,nist_ai_rmf,MEASURE 3.3,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 3.3.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MS-4.2,nist_ai_rmf,MEASURE 4.2,supports,"GenAI-specific suggested actions for AI RMF subcategory MEASURE 4.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MG-1.3,nist_ai_rmf,MANAGE 1.3,supports,"GenAI-specific suggested actions for AI RMF subcategory MANAGE 1.3.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MG-2.2,nist_ai_rmf,MANAGE 2.2,supports,"GenAI-specific suggested actions for AI RMF subcategory MANAGE 2.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MG-2.3,nist_ai_rmf,MANAGE 2.3,supports,"GenAI-specific suggested actions for AI RMF subcategory MANAGE 2.3.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MG-2.4,nist_ai_rmf,MANAGE 2.4,supports,"GenAI-specific suggested actions for AI RMF subcategory MANAGE 2.4.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MG-3.1,nist_ai_rmf,MANAGE 3.1,supports,"GenAI-specific suggested actions for AI RMF subcategory MANAGE 3.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MG-3.2,nist_ai_rmf,MANAGE 3.2,supports,"GenAI-specific suggested actions for AI RMF subcategory MANAGE 3.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MG-4.1,nist_ai_rmf,MANAGE 4.1,supports,"GenAI-specific suggested actions for AI RMF subcategory MANAGE 4.1.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MG-4.2,nist_ai_rmf,MANAGE 4.2,supports,"GenAI-specific suggested actions for AI RMF subcategory MANAGE 4.2.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
nist_ai_600_1,MG-4.3,nist_ai_rmf,MANAGE 4.3,supports,"GenAI-specific suggested actions for AI RMF subcategory MANAGE 4.3.","NIST AI 600-1 keys its suggested actions to AI RMF subcategories (authoritative structural mapping)."
